<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.30	23:00:00	1856.21100	1857.18000	1831.70600	1837.97000	2743	0	331600
2021.03.31	00:00:00	1837.97000	1844.14400	1836.81100	1842.93600	2070	0	358200
2021.03.31	01:00:00	1842.93600	1847.14100	1836.05100	1838.04700	1762	0	346900
2021.03.31	02:00:00	1838.04700	1842.73700	1836.45000	1839.54400	929	0	336000
2021.03.31	03:00:00	1839.54400	1857.20500	1839.04500	1856.80600	1406	0	229800
2021.03.31	04:00:00	1856.80600	1860.79700	1844.43300	1847.52600	659	0	253400
2021.03.31	05:00:00	1847.52600	1847.52600	1837.54800	1837.94700	1057	0	265900
2021.03.31	06:00:00	1837.94700	1838.24600	1809.33800	1821.34600	2624	0	183700
2021.03.31	07:00:00	1821.34600	1825.93200	1814.10000	1822.88500	2536	0	315000
2021.03.31	08:00:00	1822.88500	1832.04600	1818.16000	1830.38700	2256	0	347000
2021.03.31	09:00:00	1830.38700	1853.91200	1827.21000	1852.81400	1913	0	312600
2021.03.31	10:00:00	1852.81400	1854.31100	1803.12400	1810.80700	1746	0	180800
2021.03.31	11:00:00	1810.90700	1814.36300	1769.49800	1805.98200	4117	0	177600
2021.03.31	12:00:00	1805.98200	1813.48400	1797.48000	1806.39100	1941	0	180900
2021.03.31	13:00:00	1806.39100	1810.58700	1783.31400	1799.29800	1883	0	180800
2021.03.31	14:00:00	1799.29800	1808.28900	1798.18000	1807.29000	1345	0	218700
2021.03.31	15:00:00	1806.99100	1817.38000	1795.40200	1813.68400	1224	0	262300
2021.03.31	16:00:00	1813.68400	1831.06700	1811.10600	1826.57100	1092	0	234400
2021.03.31	17:00:00	1826.57100	1837.56000	1821.58300	1832.16600	1064	0	245800
2021.03.31	18:00:00	1834.96300	1850.94700	1830.06400	1846.45100	1418	0	295700
2021.03.31	19:00:00	1846.45100	1856.54100	1835.55200	1842.75500	1371	0	297000
2021.03.31	20:00:00	1842.75500	1852.94500	1841.15700	1849.84800	928	0	247500
2021.03.31	21:00:00	1849.84800	1891.70600	1847.62600	1889.50800	1353	0	192600
2021.03.31	22:00:00	1889.30800	1915.28200	1889.30800	1899.25800	3010	0	189900
2021.03.31	23:00:00	1899.25400	1938.05000	1892.83800	1936.97100	3059	0	189500
2021.04.01	00:00:00	1936.99100	1944.88300	1921.93600	1928.06000	2693	0	192600
2021.04.01	01:00:00	1928.06000	1934.17200	1902.26500	1902.26500	2934	0	191100
2021.04.01	02:00:00	1902.26500	1922.15500	1900.14700	1917.06100	2871	0	191200
2021.04.01	03:00:00	1917.33000	1935.25200	1917.33000	1930.43700	2824	0	192400
2021.04.01	04:00:00	1930.43700	1939.56800	1921.81600	1939.34400	2392	0	192500
2021.04.01	05:00:00	1938.36900	1942.31600	1922.39500	1923.33400	2357	0	192600
2021.04.01	06:00:00	1923.33400	1924.06400	1911.30600	1920.87700	2346	0	191600
2021.04.01	07:00:00	1920.91700	1926.37100	1900.63700	1914.29300	2871	0	190500
2021.04.01	08:00:00	1914.31300	1917.67000	1906.10100	1907.75000	2509	0	191100
2021.04.01	09:00:00	1907.75000	1924.12300	1907.20000	1913.08500	2508	0	191600
2021.04.01	10:00:00	1913.08500	1929.60100	1907.09100	1922.94500	3392	0	190900
2021.04.01	11:00:00	1923.26400	1965.66200	1923.26400	1941.44600	3531	0	192800
2021.04.01	12:00:00	1941.44600	1954.81700	1932.48500	1935.62200	3642	0	193700
2021.04.01	13:00:00	1935.62200	1941.49600	1920.89700	1927.30000	3664	0	192400
2021.04.01	14:00:00	1927.30000	1927.50000	1904.35300	1918.10900	2976	0	191300
2021.04.01	15:00:00	1918.14900	1923.41400	1910.57700	1919.92800	2854	0	192000
2021.04.01	16:00:00	1920.06800	1939.98800	1919.55800	1932.06600	2676	0	261800
2021.04.01	17:00:00	1932.06600	1932.12500	1918.08000	1929.86800	2796	0	265200
2021.04.01	18:00:00	1929.86800	1945.56200	1927.92000	1942.15500	2839	0	284000
2021.04.01	19:00:00	1942.15500	1954.57300	1936.61100	1944.24300	3037	0	194000
2021.04.01	20:00:00	1944.24300	1963.82400	1928.07000	1938.34900	3332	0	193000
2021.04.01	21:00:00	1938.34900	1973.58400	1886.54000	1965.02300	3821	0	189000
2021.04.01	22:00:00	1965.02300	1981.89100	1958.39900	1971.67600	4231	0	196200
2021.04.01	23:00:00	1971.67600	1981.16200	1963.89400	1968.22900	2810	0	197100
2021.04.02	00:00:00	1968.22900	1971.91600	1948.58900	1961.46600	2724	0	195300
2021.04.02	01:00:00	1961.08600	1970.62700	1952.39500	1969.69800	2580	0	196000
2021.04.02	02:00:00	1969.55800	1976.38100	1964.77300	1966.03200	2533	0	197200
2021.04.02	03:00:00	1966.08100	1970.47700	1946.54100	1955.69600	2997	0	195100
2021.04.02	04:00:00	1955.69600	1992.18800	1955.44200	1992.14900	3332	0	195800
2021.04.02	05:00:00	1992.14900	2001.85600	1982.72800	1995.52200	3308	0	198800
2021.04.02	06:00:00	1995.52200	2008.06900	1988.01000	1994.63300	2869	0	199600
2021.04.02	07:00:00	1994.63300	1998.63900	1985.64200	1993.36400	2564	0	198900
2021.04.02	08:00:00	1993.36400	1997.82000	1986.44100	1987.51000	2405	0	199400
2021.04.02	09:00:00	1987.51000	1997.99000	1979.33800	1993.55400	2448	0	198600
2021.04.02	10:00:00	1993.55400	2006.41100	1990.06700	1994.44200	2586	0	199300
2021.04.02	11:00:00	1994.39200	2003.60400	1989.00900	1989.30800	2653	0	199300
2021.04.02	12:00:00	1989.32800	1996.29100	1981.56600	1993.15400	2611	0	198500
2021.04.02	13:00:00	1993.15400	1999.89800	1986.37100	1998.16900	2370	0	199300
